1.954, 0.020, 0.027
2.205, 0.010, 0.027
2.498, 0.006, 0.019
2.792, -0.000, 0.002
3.085, 0.001, 0.010
3.379, 0.007, 0.014
3.672, 0.010, 0.031
3.964, 0.004, 0.016
4.258, 0.008, 0.022
4.554, 0.004, 0.025
4.845, -0.001, 0.010
5.138, 0.006, -0.017
5.431, -0.001, 0.006
5.725, 0.011, 0.005
6.018, 0.007, 0.007
6.311, 0.016, -0.009
6.604, -0.002, 0.045
6.898, 0.003, 0.005
7.191, 0.011, 0.032
7.484, 0.009, 0.014
7.778, 0.010, 0.010
8.071, 0.006, 0.021
8.364, 0.009, 0.004
8.657, 0.005, 0.014
8.950, 0.004, 0.022
9.244, 0.011, 0.012
9.537, 0.006, 0.037
9.830, 0.013, 0.018
10.124, -0.002, 0.012
10.417, 0.009, 0.008
10.711, 0.000, 0.029
11.003, -0.003, 0.002
11.296, 0.005, 0.009
11.593, 0.013, 0.010
11.883, 0.011, 0.004
12.177, 0.006, 0.027
12.470, 0.014, 0.044
12.763, 0.004, 0.021
13.057, 0.002, 0.023
13.349, 0.003, 0.024
13.643, 0.012, 0.017
13.936, 0.009, 0.020
14.229, 0.010, 0.020
14.523, 0.006, 0.030
14.816, 0.005, 0.023
15.110, 0.002, 0.013
15.403, 0.000, 0.020
15.695, 0.020, 0.005
15.989, 0.012, 0.021
16.282, 0.017, -0.000
16.576, 0.018, 0.031
16.869, 0.004, 0.010
17.162, 0.002, 0.019
17.456, 0.014, 0.018
17.748, 0.005, 0.016
18.042, 0.010, 0.004
18.338, 0.002, 0.021
18.628, 0.005, 0.009
18.922, 0.006, -0.006
19.215, 0.014, 0.019
19.509, 0.005, 0.040
19.802, 0.007, 0.028
20.094, 0.012, 0.030
20.388, 0.011, 0.008
20.681, -0.002, 0.030
20.975, 0.015, -0.012
21.268, 0.016, 0.015
21.561, 0.011, 0.023
21.855, 0.007, 0.017
22.148, 0.010, 0.010
22.441, 0.008, 0.034
22.734, 0.007, 0.016
23.027, 0.005, 0.014
23.321, 0.009, 0.014
23.614, 0.012, 0.006
23.908, 0.007, 0.043
24.201, 0.015, 0.022
24.494, 0.017, 0.065
24.787, 0.003, 0.042
25.083, 0.023, -0.003
25.374, 0.001, 0.037
25.667, 0.006, 0.023
25.960, 0.009, -0.005
26.254, 0.010, 0.026
26.547, 0.016, -0.001
26.841, 0.014, 0.024
27.133, 0.007, 0.021
27.426, 0.017, 0.019
27.720, 0.003, 0.027
28.013, 0.005, 0.024
28.307, 0.008, 0.003
28.600, 0.011, 0.020
28.893, 0.013, 0.048
29.187, 0.004, 0.014
29.479, 0.011, 0.003
29.773, 0.004, 0.002
30.066, 0.010, 0.020
30.359, 0.008, 0.023
30.653, 0.011, 0.025
30.946, 0.006, 0.028
31.239, 0.010, 0.030
31.533, 0.003, 0.025
31.825, 0.005, 0.008
32.119, 0.002, 0.019
32.412, 0.007, 0.025
32.705, 0.007, 0.011
32.999, 0.011, 0.018
33.292, 0.014, 0.022
33.586, 0.009, 0.030
33.879, 0.007, 0.038
34.171, 0.003, 0.034
34.465, 0.007, 0.000
34.758, 0.004, 0.044
35.051, 0.001, 0.021
35.345, 0.001, 0.021
35.638, -0.002, 0.006
35.932, -0.001, -0.006
36.225, 0.008, 0.032
36.517, 0.010, -0.016
36.811, 0.014, 0.014
37.104, 0.001, 0.028
37.397, 0.002, -0.008
37.691, 0.005, 0.000
37.984, 0.006, 0.005
38.277, 0.011, -0.003
38.571, -0.003, 0.029
38.863, 0.018, 0.021
39.157, 0.011, 0.024
39.450, 0.009, 0.011
39.743, -0.002, 0.024
40.037, 0.005, -0.002
40.330, 0.006, 0.024
40.623, 0.004, 0.006
40.916, 0.003, 0.012
41.209, 0.011, 0.021
41.503, -0.001, 0.026
41.796, 0.013, 0.016
42.089, 0.701, 0.079
42.383, 8.060, 2.381
42.676, 20.637, 28.799
42.969, 31.202, 56.725
43.262, 38.058, 79.750
43.555, 37.554, 88.842
43.849, 36.397, 87.037
44.142, 31.696, 81.320
44.435, 27.229, 70.459
44.729, 27.863, 64.800
45.022, 25.895, 64.000
45.318, 23.352, 56.990
45.608, 22.889, 54.028
45.901, 24.065, 51.927
46.194, 22.786, 56.647
46.488, 23.407, 51.796
46.781, 23.758, 54.051
47.075, 32.133, 60.173
47.368, 38.742, 82.175
47.661, 38.137, 91.125
47.954, 39.184, 90.632
48.247, 41.310, 91.241
48.540, 40.193, 96.051
48.834, 39.243, 92.216
49.127, 39.338, 91.512
49.421, 39.335, 90.600
49.714, 39.144, 91.665
50.007, 38.227, 89.787
50.300, 38.215, 88.731
50.593, 40.718, 89.847
50.886, 42.759, 96.385
51.180, 38.954, 96.324
51.476, 39.175, 91.256
51.767, 36.125, 89.059
52.060, 35.619, 81.477
52.353, 34.958, 85.068
52.646, 33.657, 77.792
52.939, 35.615, 79.343
53.232, 34.230, 82.790
53.526, 32.513, 79.213
53.819, 27.427, 71.353
54.112, 25.186, 61.953
54.406, 22.531, 57.720
54.699, 17.593, 48.675
54.992, 10.144, 33.845
55.285, 7.585, 20.585
55.578, 7.255, 17.116
55.872, 6.895, 16.706
56.165, 6.096, 15.386
56.458, 6.919, 14.315
56.752, 6.761, 16.307
57.044, 8.689, 15.953
57.337, 21.480, 26.755
57.631, 26.801, 58.485
57.927, 30.852, 63.532
58.218, 34.840, 75.620
58.511, 30.686, 79.203
58.804, 31.022, 68.933
59.098, 31.951, 71.790
59.390, 37.941, 76.613
59.683, 37.582, 90.030
59.977, 37.517, 84.342
60.270, 38.927, 88.323
60.563, 38.185, 89.632
60.857, 38.368, 87.129
61.150, 39.356, 90.402
61.443, 39.714, 91.767
61.736, 39.467, 91.658
62.029, 37.019, 90.105
62.323, 34.068, 83.405
62.616, 33.314, 79.467
62.909, 29.292, 74.748
63.203, 25.131, 65.251
63.496, 23.306, 55.125
63.789, 24.339, 54.198
64.086, 23.690, 56.321
64.375, 20.206, 53.055
64.669, 10.601, 41.099
64.962, 6.089, 18.668
65.255, 1.969, 10.932
65.549, 0.164, 2.233
65.842, 0.030, 0.196
66.135, 0.018, 0.033
66.428, 0.019, 0.040
66.721, 0.027, 0.049
67.014, 0.014, 0.063
67.308, 0.030, 0.054
67.601, 0.015, 0.056
67.894, 0.030, 0.056
68.188, 0.027, 0.050
68.481, 0.027, 0.045
68.774, 0.008, 0.065
69.067, 0.022, 0.026
69.360, 0.029, 0.059
69.654, 0.020, 0.079
69.947, 0.019, 0.052
70.240, 0.029, 0.040
70.534, 0.022, 0.067
70.830, 0.015, 0.036
71.120, 0.028, 0.054
71.413, 0.026, 0.063
71.706, 0.031, 0.065
72.000, 0.030, 0.068
72.293, 0.109, 0.066
72.586, 0.174, 0.344
72.880, 0.129, 0.418
